CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,RFM_Score,Has_Zero_Balance,Balance_to_Salary_Ratio,Mobile_Money_Risk,Digital_Adoption_Score,Loyalty_Score,Real_Balance_After_Inflation,Geography,Gender,Account_Currency,Churn_Probability,Actual_Churn,Risk_Band
592,45,4,20191.683716233754,2,1,0,150016.74126697154,2.4000000000000004,0,0.1346,1,2,5.0,4038.34,0,0,1,0.4587695087469319,0,Medium (30-50%)
658,59,9,164091.677587635,3,1,1,87984.97595893739,2.45,0,1.865,0,4,12.5,156277.79,0,1,0,0.529795397352148,0,High (50-70%)
441,53,6,231197.0271645644,1,1,1,26982.311680783107,2.0,0,8.5681,1,3,8.5,220187.64,0,0,0,0.3724785533930604,0,Medium (30-50%)
559,36,7,0.0,1,0,0,60312.68487776788,1.8000000000000005,1,0.0,3,0,7.5,0.0,0,1,0,0.5653861092572943,0,High (50-70%)
497,55,9,233781.69452105323,1,1,0,64083.58826648563,2.8000000000000003,0,3.648,2,1,9.5,222649.23,0,0,0,0.533186803331111,0,High (50-70%)
456,36,9,219028.27077278565,2,0,1,35395.66983900778,2.35,0,6.1878,0,3,12.0,208598.35,1,0,0,0.24240599373446703,0,Low (<30%)
764,56,7,177000.3233253938,1,1,0,126741.16685361724,2.5500000000000003,0,1.3965,2,1,7.5,168571.74,0,0,0,0.5457747020892963,1,High (50-70%)
554,23,6,242388.57304451652,4,1,0,177105.52527482162,3.85,0,1.3686,1,2,8.0,230846.26,0,0,0,0.41293548970856864,0,Medium (30-50%)
534,34,7,0.0,2,1,1,92331.99013536292,1.35,1,0.0,1,4,10.0,0.0,1,1,1,0.35914815729493327,0,Medium (30-50%)
606,54,4,0.0,2,1,0,196240.0972211072,2.1500000000000004,1,0.0,2,2,5.0,0.0,1,1,1,0.6916556524490699,1,High (50-70%)
699,62,9,0.0,1,1,0,128360.5469771762,1.8000000000000005,1,0.0,3,1,9.5,0.0,0,1,1,0.7320008602645534,1,Critical (>70%)
357,51,9,33450.02908084737,1,1,1,151425.03613682342,1.25,0,0.2209,1,3,11.5,31857.17,0,0,0,0.3497162804446569,1,Medium (30-50%)
525,29,9,0.0,4,1,1,30499.548597201327,2.05,1,0.0,1,4,13.0,0.0,1,1,1,0.4296789807634239,0,Medium (30-50%)
691,20,0,122748.95987180114,3,1,1,99582.30166773369,2.45,0,1.2326,0,4,3.5,116903.77,0,1,0,0.2854725345186939,0,Low (<30%)
729,69,2,0.0,2,1,0,111930.618428722,2.1500000000000004,1,0.0,2,2,3.0,0.0,2,1,1,0.7797735274543796,1,Critical (>70%)
366,70,7,17956.357246617867,1,1,0,163910.76460220816,2.0500000000000003,0,0.1095,2,1,7.5,17101.29,0,0,0,0.6800761969980426,0,High (50-70%)
475,47,4,0.0,3,1,1,179245.0597530845,1.6999999999999995,1,0.0,1,4,7.5,0.0,0,0,0,0.5127504997218247,0,High (50-70%)
589,26,9,135548.23144572222,1,1,1,191926.8948347672,1.75,0,0.7062,1,3,11.5,129093.55,0,1,0,0.22139857112359312,0,Low (<30%)
703,43,5,197885.3222601136,1,0,1,46340.53599686113,1.75,0,4.2702,1,2,7.5,188462.21,0,0,0,0.30171408382228665,0,Medium (30-50%)
816,54,0,77330.96594828446,2,0,1,168521.39984503537,1.85,0,0.4589,0,3,3.0,73648.54,0,0,0,0.4416620719489687,0,Medium (30-50%)
547,21,4,185439.1903817516,1,1,1,39359.65434948268,1.75,0,4.7113,1,3,6.5,176608.75,0,1,0,0.20599106599415146,0,Low (<30%)
843,63,1,41014.595157697855,1,1,0,40255.57933267353,2.0500000000000003,0,1.0188,2,1,1.5,39061.52,1,0,0,0.625267186944415,0,High (50-70%)
725,74,2,0.0,2,1,1,156023.18969890897,1.35,1,0.0,1,4,5.0,0.0,0,1,0,0.7214627321054842,0,Critical (>70%)
356,61,9,50409.709804638376,1,1,0,38506.6671145785,2.3000000000000003,0,1.3091,2,1,9.5,48009.25,0,1,0,0.6633433961814296,0,High (50-70%)
656,26,7,216461.49525105828,1,1,0,135267.00551205035,2.8000000000000003,0,1.6002,2,1,7.5,206153.81,0,0,0,0.31206099856868,0,Medium (30-50%)
386,35,1,109733.58360623704,2,0,0,52274.08217718016,2.9000000000000004,0,2.0992,1,1,2.0,104508.17,0,1,0,0.5215598138118211,0,High (50-70%)
646,59,3,21243.087152402422,2,1,0,126200.08881968856,2.4000000000000004,0,0.1683,1,2,4.0,4248.62,0,1,1,0.630083762271272,0,High (50-70%)
711,64,4,0.0,2,1,0,42591.18317296008,2.1500000000000004,1,0.0,2,2,5.0,0.0,0,1,0,0.7798258152314884,0,Critical (>70%)
463,44,0,0.0,2,1,1,49407.65923252663,1.35,1,0.0,1,4,3.0,0.0,0,1,1,0.5075628802708447,0,High (50-70%)
567,27,7,193095.2474583659,1,1,1,145051.52584650446,1.75,0,1.3312,1,3,9.5,183900.24,0,1,0,0.22261047837595105,0,Low (<30%)
671,42,1,202774.5920336089,2,1,1,68700.94779704476,2.35,0,2.9515,0,4,4.0,193118.66,0,0,0,0.3310868116199702,0,Medium (30-50%)
814,55,5,208837.61222363304,1,1,1,65524.12595769745,2.0,0,3.1871,1,3,7.5,198892.96,0,1,0,0.4453786446564224,1,Medium (30-50%)
434,74,1,169598.4576768897,1,0,0,41555.64977484064,2.5500000000000003,0,4.0811,2,0,1.5,161522.34,0,0,0,0.736769088540824,0,Critical (>70%)
438,53,4,221397.90971249348,1,1,0,48922.13013471765,2.8000000000000003,0,4.5254,2,1,4.5,210855.15,0,1,0,0.6051600016490302,0,High (50-70%)
591,20,3,123814.2175175165,2,1,1,61974.3030751389,2.1,0,1.9978,0,4,6.0,117918.3,1,1,0,0.21083121701169802,0,Low (<30%)
750,19,1,0.0,4,1,1,108304.90502570156,2.05,1,0.0,1,4,5.0,0.0,0,1,1,0.40945128732158514,0,Medium (30-50%)
643,23,0,17203.95679134138,1,1,0,2537.830473725898,2.0500000000000003,0,6.7763,2,1,0.5,16384.72,0,0,0,0.3435595146944635,0,Medium (30-50%)
664,24,7,119198.84450305764,1,0,0,55793.19141909309,2.5500000000000003,0,2.1364,2,0,7.5,113522.71,0,0,0,0.32470508533706693,0,Medium (30-50%)
697,69,0,97749.25207845429,2,1,0,165634.80836834677,2.6500000000000004,0,0.5901,1,2,1.0,93094.53,2,1,0,0.7102973834797788,0,Critical (>70%)
777,38,6,73471.90531518574,1,1,0,15577.780558990116,2.3000000000000003,0,4.7162,2,1,6.5,69973.24,0,1,0,0.4783794942581404,0,Medium (30-50%)
685,25,7,93593.89979122663,3,0,0,147277.93658064408,3.0,0,0.6355,1,1,8.5,89137.05,1,1,0,0.41723030741098605,1,Medium (30-50%)
734,65,9,196381.93802243963,1,1,0,26074.53711040792,2.5500000000000003,0,7.5313,2,1,9.5,187030.42,2,0,0,0.5586941784504076,0,High (50-70%)
443,54,7,0.0,1,1,0,126487.75248097004,1.8000000000000005,1,0.0,3,1,7.5,0.0,1,0,1,0.6207528821953975,0,High (50-70%)
642,60,3,18059.34076296804,1,1,1,194701.35769946163,1.25,0,0.0928,1,3,5.5,17199.37,0,1,0,0.5073246528660831,0,High (50-70%)
363,61,2,175601.28167343664,1,1,0,101626.18188785065,2.5500000000000003,0,1.7279,2,1,2.5,167239.32,2,0,0,0.5784809206717426,0,High (50-70%)
541,18,1,96109.4780382432,1,1,0,64306.57723430364,2.3000000000000003,0,1.4945,2,1,1.5,91532.84,1,0,0,0.2744080507132093,0,Low (<30%)
669,23,1,17917.813189422293,1,1,1,104386.19121545888,1.25,0,0.1716,1,3,3.5,17064.58,2,0,0,0.17405594386636708,0,Low (<30%)
437,71,3,33410.31669596707,2,1,1,152122.69635295874,1.6,0,0.2196,0,4,6.0,31819.35,1,0,0,0.5348179579820476,1,High (50-70%)
388,52,2,0.0,2,0,0,13536.601803979202,2.1500000000000004,1,0.0,2,1,3.0,0.0,2,1,1,0.6882233207776207,0,High (50-70%)
757,53,4,203165.26575229,1,1,1,43591.74811026397,2.0,0,4.6605,1,3,6.5,193490.73,0,0,0,0.3861635242933037,0,Medium (30-50%)
779,22,6,67274.35923824296,1,0,1,156550.4963837911,1.5,0,0.4297,1,2,8.5,64070.82,1,0,0,0.17144761830960153,0,Low (<30%)
547,70,3,0.0,2,1,0,44122.502021516935,2.1500000000000004,1,0.0,2,2,4.0,0.0,0,0,0,0.7833057108929912,1,Critical (>70%)
744,68,9,0.0,2,1,1,22177.137416073525,1.35,1,0.0,1,4,12.0,0.0,2,1,1,0.6007099059271211,0,High (50-70%)
780,38,4,0.0,2,0,0,161123.5148090984,2.1500000000000004,1,0.0,2,1,5.0,0.0,0,0,0,0.5496261807264454,1,High (50-70%)
807,46,1,41114.66561447084,3,1,1,136126.68031361452,1.95,0,0.302,0,4,4.5,39156.82,2,0,0,0.3688878270640684,0,Medium (30-50%)
682,49,2,85058.52865466884,1,1,0,160512.72763061282,2.3000000000000003,0,0.5299,2,1,2.5,81008.12,0,1,0,0.5845138224327755,0,High (50-70%)
759,26,3,209163.5621153376,1,1,1,13684.061555148586,2.0,0,15.2841,1,3,5.5,199203.39,0,1,0,0.24411384522328128,0,Low (<30%)
576,35,8,77147.24680740778,1,1,0,111381.77189138463,2.3000000000000003,0,0.6926,2,1,8.5,73473.57,2,0,0,0.3432145771239187,0,Medium (30-50%)
484,49,0,0.0,1,1,1,15219.4698480885,1.0,1,0.0,2,3,2.5,0.0,1,1,1,0.5129088842587339,0,High (50-70%)
691,52,5,151231.10182808363,1,1,1,10023.813610304933,1.75,0,15.0857,1,3,7.5,144029.62,2,0,0,0.3304055398318415,1,Medium (30-50%)
476,30,0,89354.35492875373,2,0,1,182363.8635672035,1.85,0,0.49,0,3,3.0,85099.39,0,0,0,0.26361169856641997,0,Low (<30%)
428,53,6,197322.70611817835,2,1,1,50094.40493373265,2.1,0,3.9389,0,4,9.0,187926.39,1,0,0,0.3552810927356203,0,Medium (30-50%)
620,65,7,0.0,3,1,1,16659.87101710558,1.6999999999999995,1,0.0,1,4,10.5,0.0,1,0,1,0.6212554022888271,0,High (50-70%)
572,65,7,234851.78847801592,3,1,0,6838.5387246740565,3.5,0,34.3374,1,2,8.5,223668.37,0,1,0,0.7372216343329312,1,Critical (>70%)
421,56,4,0.0,3,0,0,163556.07697352537,2.5,1,0.0,2,1,5.5,0.0,0,1,1,0.7842871172141673,1,Critical (>70%)
721,44,6,186919.0176589387,2,1,1,31260.743191433325,2.1,0,5.9792,0,4,9.0,178018.11,0,0,0,0.30843157797248955,0,Medium (30-50%)
777,63,8,120678.0321049045,1,1,1,81569.48559268733,1.75,0,1.4794,1,3,10.5,114931.46,1,0,0,0.42893033299369665,0,Medium (30-50%)
463,20,5,0.0,1,1,0,94086.71714363426,1.8000000000000005,1,0.0,3,1,5.5,0.0,0,1,1,0.43079968588756934,0,Medium (30-50%)
443,73,1,244058.35176060244,1,1,1,118457.7244014026,2.0,0,2.0603,1,3,3.5,232436.53,1,1,0,0.5869895791113608,0,High (50-70%)
568,58,5,16631.32331602266,1,1,1,182541.3859505603,1.25,0,0.0911,1,3,7.5,3326.26,0,0,1,0.3900012554214,0,Medium (30-50%)
619,35,9,23362.560804405533,2,1,1,71505.77875341532,1.6,0,0.3267,0,4,12.0,22250.06,2,1,0,0.25527731550914873,0,Low (<30%)
652,50,4,235733.9599263768,2,1,1,103146.4691297341,2.35,0,2.2854,0,4,7.0,224508.53,1,1,0,0.39230678697956123,0,Medium (30-50%)
384,49,2,152413.65245741833,2,1,0,186357.388991556,2.9000000000000004,0,0.8179,1,2,3.0,145155.86,0,1,0,0.5978331005691435,0,High (50-70%)
657,37,6,124429.0988159757,1,0,1,105909.59586594404,1.75,0,1.1749,1,2,8.5,118503.9,2,0,0,0.2394564789827637,0,Low (<30%)
669,64,7,224047.3660531347,1,1,0,136193.24772091513,2.8000000000000003,0,1.6451,2,1,7.5,213378.44,0,0,0,0.6147933972140769,0,High (50-70%)
682,58,1,0.0,3,1,0,161724.47700810427,2.5,1,0.0,2,2,2.5,0.0,2,1,1,0.7621248692066788,0,Critical (>70%)
595,58,7,0.0,2,1,0,135805.67994355207,2.1500000000000004,1,0.0,2,2,8.0,0.0,1,1,1,0.7074099141388757,0,Critical (>70%)
383,43,4,212506.2206359814,1,1,1,5723.786271521085,2.0,0,37.1204,1,3,6.5,202386.88,0,0,0,0.3148106861063617,0,Medium (30-50%)
677,27,9,24337.61292018008,1,1,1,124663.3721643779,1.25,0,0.1952,1,3,11.5,4867.52,0,0,1,0.16020727047644825,0,Low (<30%)
473,63,6,180183.0536834252,2,1,0,138036.7130983956,2.9000000000000004,0,1.3053,1,2,7.0,171602.91,2,1,0,0.6313164188183225,0,High (50-70%)
676,31,7,141580.0020374666,1,1,1,114965.13471285623,1.75,0,1.2315,1,3,9.5,134838.1,0,1,0,0.26001169554380565,0,Low (<30%)
556,36,7,125865.9214225746,1,1,1,108237.14880024488,1.75,0,1.1629,1,3,9.5,119872.31,1,1,0,0.2807356262075143,0,Low (<30%)
403,26,3,182698.36749919204,2,1,0,151636.79836163964,2.9000000000000004,0,1.2048,1,2,4.0,173998.45,2,1,0,0.34785065764540435,0,Medium (30-50%)
746,64,5,160158.70909040575,1,1,0,43409.51415983682,2.5500000000000003,0,3.6894,2,1,5.5,152532.1,2,0,0,0.5855722158226734,1,High (50-70%)
705,24,6,0.0,2,1,1,16500.324127405464,1.35,1,0.0,1,4,9.0,0.0,1,1,1,0.2908992682319826,0,Low (<30%)
717,65,2,159506.76723257996,1,1,1,197256.66566980424,1.75,0,0.8086,1,3,4.5,151911.21,0,0,0,0.48659068055854027,1,Medium (30-50%)
813,36,3,141307.51245412443,4,1,1,109635.44523435037,2.8,0,1.2889,0,4,7.0,134578.58,2,1,0,0.39258832940480304,0,Medium (30-50%)
819,69,6,199999.4888111925,1,1,0,120157.35820971952,2.5500000000000003,0,1.6645,2,1,6.5,190475.7,2,1,0,0.6523233754761536,0,High (50-70%)
714,54,1,134630.3081102051,2,1,1,47224.51087406717,2.1,0,2.8508,0,4,4.0,128219.34,0,1,0,0.4841006333304808,0,Medium (30-50%)
598,44,8,170432.50411848474,2,1,1,76189.45635796068,2.1,0,2.2369,0,4,11.0,162316.67,2,0,0,0.2649603088508179,0,Low (<30%)
564,65,8,127307.74997064366,2,1,1,24946.35392089485,2.1,0,5.1031,0,4,11.0,121245.48,0,1,0,0.5415819647142383,1,High (50-70%)
544,56,1,222461.596911036,1,1,0,71586.41632755984,2.8000000000000003,0,3.1076,2,1,1.5,211868.19,0,1,0,0.641829417956018,0,High (50-70%)
702,18,5,0.0,4,0,1,125065.66644702909,2.05,1,0.0,1,3,9.0,0.0,0,0,0,0.34204453016315783,1,Medium (30-50%)
748,61,5,0.0,3,1,1,5131.477685500697,1.6999999999999995,1,0.0,1,4,8.5,0.0,0,1,1,0.6711398905854896,0,High (50-70%)
707,25,2,136429.65519441912,1,1,1,16594.274972267664,1.75,0,8.221,1,3,4.5,129933.0,0,0,0,0.2099480525073222,0,Low (<30%)
669,72,3,91931.4966998349,1,0,1,102496.23862469516,1.5,0,0.8969,1,2,5.5,87553.81,0,1,0,0.6139888111220584,0,High (50-70%)
694,28,6,221684.78547949583,2,1,0,25066.942532631587,3.1500000000000004,0,8.8434,1,2,7.0,211128.37,2,1,0,0.3510858972471536,1,Medium (30-50%)
630,67,8,0.0,2,0,1,153319.93634691552,1.35,1,0.0,1,3,11.0,0.0,2,1,0,0.6084658284543611,1,High (50-70%)
389,40,2,81052.12890537438,2,1,1,60198.48742667924,1.85,0,1.3464,0,4,5.0,77192.5,0,1,0,0.37061622441188397,0,Medium (30-50%)
351,65,6,155950.4162084518,2,1,0,189230.18818444328,2.9000000000000004,0,0.8241,1,2,7.0,148524.21,1,1,0,0.6765414544048954,0,High (50-70%)
671,48,5,25465.48114394952,2,1,0,11420.086466031056,2.4000000000000004,0,2.2297,1,2,6.0,5093.1,0,1,1,0.5230146256886393,1,High (50-70%)
738,74,6,202384.54248964333,1,1,0,21239.12534778764,2.8000000000000003,0,9.5284,2,1,6.5,192747.18,1,0,0,0.6843080452776371,0,High (50-70%)
553,37,4,190307.5154634725,3,1,1,174285.52389744043,2.45,0,1.0919,0,4,7.5,181245.25,2,1,0,0.3238881531299025,0,Medium (30-50%)
383,48,4,0.0,1,1,0,18061.82918469913,1.8000000000000005,1,0.0,3,1,4.5,0.0,2,1,1,0.6244606539866557,0,High (50-70%)
498,19,6,204216.95130539464,1,1,1,177587.87503985682,2.0,0,1.1499,1,3,8.5,194492.33,0,0,0,0.16114829462210162,0,Low (<30%)
665,69,9,0.0,1,0,1,61957.19062698389,1.0,1,0.0,2,2,11.5,0.0,0,1,1,0.6523987179863147,0,High (50-70%)
360,65,5,237592.0703753088,2,1,0,197652.3640958221,3.1500000000000004,0,1.2021,1,2,6.0,226278.16,2,1,0,0.6507285170642809,0,High (50-70%)
510,55,8,0.0,4,0,0,21997.51569222976,2.85,1,0.0,2,1,10.0,0.0,0,1,0,0.8080821968889672,0,Critical (>70%)
462,59,1,208897.17157740245,1,1,1,138847.5782488791,2.0,0,1.5045,1,3,3.5,198949.69,0,0,0,0.45222204472510763,1,Medium (30-50%)
742,40,0,236456.8891158813,1,1,1,177487.62811394234,2.0,0,1.3322,1,3,2.5,225197.04,2,0,0,0.2558607310781175,0,Low (<30%)
630,28,1,203574.0077932524,1,1,1,117731.48430940628,2.0,0,1.7291,1,3,3.5,193880.01,2,0,0,0.194019608137195,0,Low (<30%)
406,54,7,103810.0090383854,1,1,0,154345.394585112,2.5500000000000003,0,0.6726,2,1,7.5,98866.68,1,0,0,0.5381290664789102,0,High (50-70%)
755,25,3,101954.74619900162,1,1,0,115358.41390194964,2.5500000000000003,0,0.8838,2,1,3.5,97099.76,1,0,0,0.32232300523911783,1,Medium (30-50%)
553,30,4,0.0,1,0,0,181434.1513151332,1.8000000000000005,1,0.0,3,0,4.5,0.0,0,0,0,0.47356349916478235,0,Medium (30-50%)
382,67,0,0.0,2,0,1,195020.37672711708,1.35,1,0.0,1,3,3.0,0.0,1,0,1,0.6258454917604022,1,High (50-70%)
463,49,6,129460.03806674878,1,0,0,166793.6498936089,2.5500000000000003,0,0.7762,2,0,6.5,123295.27,1,1,0,0.5574775573547575,0,High (50-70%)
477,20,7,75744.9420453158,1,1,0,185475.33124047588,2.3000000000000003,0,0.4084,2,1,7.5,72138.04,0,0,0,0.28159663980334587,0,Low (<30%)
509,57,2,51004.531900180686,2,1,0,50898.0679285966,2.6500000000000004,0,1.0021,1,2,3.0,48575.74,0,0,0,0.6292036046604847,0,High (50-70%)
469,53,4,55144.89036174336,1,1,1,30278.753646913072,1.5,0,1.8212,1,3,6.5,52518.94,2,1,0,0.4127561491262711,0,Medium (30-50%)
745,23,9,133499.96380884974,2,1,1,91519.53243852191,2.1,0,1.4587,0,4,12.0,127142.82,1,1,0,0.1988675057320342,1,Low (<30%)
823,59,3,31910.73017906665,1,1,1,99033.53859076144,1.25,0,0.3222,1,3,5.5,30391.17,0,1,0,0.4943029181014119,1,Medium (30-50%)
532,30,6,0.0,2,1,0,104708.87593405409,2.1500000000000004,1,0.0,2,2,7.0,0.0,0,0,1,0.46511597379990816,0,Medium (30-50%)
770,40,1,35944.02036029185,2,0,0,9159.17741629254,2.4000000000000004,0,3.9239,1,1,2.0,34232.4,2,1,0,0.4962856092227369,0,Medium (30-50%)
721,71,0,229434.77127882763,1,1,1,6755.433716951815,2.0,0,33.958,1,3,2.5,218509.31,1,1,0,0.5793253836932654,0,High (50-70%)
455,57,1,111977.36206142916,2,1,0,18398.25897943514,2.9000000000000004,0,6.086,1,2,2.0,106645.11,0,0,0,0.6345274259125102,0,High (50-70%)
429,49,9,21945.70464649904,2,1,0,124029.90580604396,2.4000000000000004,0,0.1769,1,2,10.0,20900.67,0,1,0,0.5676219960761633,0,High (50-70%)
591,71,8,0.0,2,1,0,43389.511340033285,2.1500000000000004,1,0.0,2,2,9.0,0.0,1,1,1,0.7876562302365742,0,Critical (>70%)
749,62,5,108938.58682240128,4,1,0,23627.637522233137,3.6,0,4.6104,1,2,7.0,103751.04,0,0,0,0.750492969267119,1,Critical (>70%)
812,59,0,224886.14038237007,1,0,0,178030.0789027753,2.8000000000000003,0,1.2632,2,0,0.5,214177.28,1,1,0,0.6487776738558121,0,High (50-70%)
474,35,4,0.0,1,0,0,194627.094495388,1.8000000000000005,1,0.0,3,0,4.5,0.0,0,0,1,0.5145760558435504,0,High (50-70%)
472,56,9,214418.8599572105,2,1,0,37696.53826905747,3.1500000000000004,0,5.6879,1,2,10.0,204208.44,0,0,0,0.5633204048090953,1,High (50-70%)
839,74,6,245163.58125780555,2,1,0,151295.2738571295,3.1500000000000004,0,1.6204,1,2,7.0,233489.13,2,0,0,0.6542418290618544,0,High (50-70%)
646,18,5,234435.69450293627,2,1,1,109198.67217444743,2.35,0,2.1469,0,4,8.0,223272.09,1,0,0,0.14840082066754334,0,Low (<30%)
443,36,5,46427.044329569486,2,1,0,37406.44028686728,2.4000000000000004,0,1.2411,1,2,6.0,44216.23,0,1,0,0.47757060435905485,0,Medium (30-50%)
451,48,1,146379.3788380061,2,1,1,25462.92603380134,2.1,0,5.7485,0,4,4.0,139408.93,1,1,0,0.4129906654688229,0,Medium (30-50%)
576,44,9,52091.15319706735,1,0,0,137894.17095528904,2.3000000000000003,0,0.3778,2,0,9.5,49610.62,1,0,0,0.4514475629296677,0,Medium (30-50%)
373,37,6,77076.52737055696,2,1,0,35711.492678703995,2.6500000000000004,0,2.1583,1,2,7.0,73406.22,0,1,0,0.49003927591932417,1,Medium (30-50%)
692,58,6,117389.03958074216,1,1,0,180500.9679436446,2.5500000000000003,0,0.6503,2,1,6.5,111799.09,2,0,0,0.5409935545982115,0,High (50-70%)
372,73,1,168658.4147243094,2,0,1,94091.0009437201,2.1,0,1.7925,0,3,4.0,160627.06,2,0,0,0.5452174583551728,0,High (50-70%)
691,60,5,150027.05969564477,2,1,1,124042.83636803622,2.1,0,1.2095,0,4,8.0,142882.91,1,1,0,0.4781257083769806,0,Medium (30-50%)
464,52,9,220928.80375234823,3,1,0,172764.94142753902,3.5,0,1.2788,1,2,10.5,210408.38,2,0,0,0.5361168658099138,1,High (50-70%)
733,24,5,0.0,2,1,0,97438.56277735432,2.1500000000000004,1,0.0,2,2,6.0,0.0,1,0,0,0.3960438908429661,0,Medium (30-50%)
687,30,8,116251.24231160594,2,0,0,169754.19566976826,2.9000000000000004,0,0.6848,1,1,9.0,110715.47,2,1,0,0.3787334847041821,0,Medium (30-50%)
434,34,4,0.0,1,1,1,5538.104781812738,1.0,1,0.0,2,3,6.5,0.0,1,0,0,0.32125651510611775,0,Medium (30-50%)
697,55,6,242467.5875575269,1,1,0,151734.01627638313,2.8000000000000003,0,1.598,2,1,6.5,230921.51,0,0,0,0.5394595363304575,0,High (50-70%)
