CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,RFM_Score,Has_Zero_Balance,Balance_to_Salary_Ratio,Mobile_Money_Risk,Digital_Adoption_Score,Loyalty_Score,Real_Balance_After_Inflation,Geography,Gender,Account_Currency,Exited
718,37,2,31483.5180949855,1,1,1,187484.0918872004,1.25,0,0.1679,1,3,4.5,29984.3,Spain,Female,USD,0
691,62,7,55469.98763076731,2,1,1,108824.28437775052,1.85,0,0.5097,0,4,10.0,52828.56,Spain,Female,USD,1
463,40,5,32626.24326093902,2,1,1,198195.259031884,1.6,0,0.1646,0,4,8.0,31072.61,Germany,Male,USD,0
591,39,8,35584.916246108165,1,0,1,193880.8026853827,1.25,0,0.1835,1,2,10.5,33890.4,France,Male,USD,0
473,51,4,0.0,2,1,1,80308.18253303532,1.35,1,0.0,1,4,7.0,0.0,Spain,Male,USD,0
654,38,5,38403.323793668365,1,1,0,6901.065372649989,2.0500000000000003,0,5.564,2,1,5.5,36574.59,Spain,Female,USD,0
425,68,8,121607.87598473638,1,1,0,161513.5094214698,2.5500000000000003,0,0.7529,2,1,8.5,115817.02,France,Male,USD,0
660,26,3,25151.007012551425,2,1,1,170513.95964289253,1.6,0,0.1475,0,4,6.0,5030.2,France,Female,ZWL,0
818,27,9,74657.69214254286,2,1,1,110592.30419886298,1.85,0,0.6751,0,4,12.0,71102.56,Spain,Female,USD,0
661,66,6,231843.8294692154,1,1,1,146530.1263842224,2.0,0,1.5822,1,3,8.5,220803.65,Spain,Female,USD,0
545,27,9,17441.63772825973,1,0,1,95418.13017745945,1.25,0,0.1828,1,2,11.5,16611.08,Spain,Male,USD,0
700,69,9,220470.82554137625,1,1,0,126569.31986843752,2.8000000000000003,0,1.7419,2,1,9.5,209972.21,Spain,Male,USD,1
393,62,5,192306.2218415103,4,1,0,102434.72858132336,3.6,0,1.8773,1,2,7.0,183148.78,Germany,Male,USD,1
764,69,5,231019.86927882637,1,0,1,95972.63738074034,2.0,0,2.4071,1,2,7.5,220018.92,Germany,Male,USD,0
535,74,5,198849.17901341125,3,0,0,164038.14941756704,3.25,0,1.2122,1,1,6.5,189380.17,Germany,Female,USD,1
692,47,3,0.0,1,1,1,35901.98566165997,1.0,1,0.0,2,3,5.5,0.0,France,Male,ZWL,0
595,50,9,35853.731149917425,1,0,0,84921.1381307081,2.0500000000000003,0,0.4222,2,0,9.5,34146.41,Germany,Male,USD,1
786,19,5,210531.07979120544,1,1,0,134848.1799380249,2.8000000000000003,0,1.5612,2,1,5.5,200505.79,Germany,Male,USD,0
433,66,6,124509.04109423808,1,1,1,197113.92851584617,1.75,0,0.6317,1,3,8.5,118580.04,Germany,Male,USD,0
556,49,1,94378.97867327114,1,1,1,114344.9017543134,1.5,0,0.8254,1,3,3.5,89884.74,Germany,Female,USD,0
500,62,8,46925.92929630795,1,1,0,110040.57821188096,2.0500000000000003,0,0.4264,2,1,8.5,44691.36,France,Female,USD,0
505,34,6,10160.72039217166,1,0,1,101606.37753970156,1.25,0,0.1,1,2,8.5,9676.88,France,Female,USD,0
365,45,2,164230.98462575063,2,0,0,10388.802342966315,2.9000000000000004,0,15.8069,1,1,3.0,156410.46,France,Male,USD,0
514,62,9,184245.30760352415,1,1,0,130174.14448699092,2.5500000000000003,0,1.4154,2,1,9.5,175471.72,France,Female,USD,0
754,34,9,103141.29868697058,3,1,0,192764.7197407631,3.25,0,0.5351,1,2,10.5,98229.81,France,Female,USD,0
812,68,6,0.0,2,0,0,144498.3298772663,2.1500000000000004,1,0.0,2,1,7.0,0.0,Spain,Male,ZWL,0
494,31,9,0.0,1,1,0,63920.88700830024,1.8000000000000003,1,0.0,3,1,9.5,0.0,France,Male,USD,0
847,69,9,50377.067329760524,1,1,1,131385.72266808944,1.5,0,0.3834,1,3,11.5,47978.16,France,Female,USD,0
386,27,4,23489.99355720604,2,1,1,100785.16272888953,1.6,0,0.2331,0,4,7.0,22371.42,Germany,Female,USD,0
682,51,8,96315.50308982431,2,1,1,133319.77356192732,1.85,0,0.7224,0,4,11.0,91729.05,Germany,Female,USD,0
752,31,5,157878.73419062982,1,1,0,199493.90046251265,2.5500000000000003,0,0.7914,2,1,5.5,150360.7,France,Male,USD,0
763,34,6,0.0,1,1,1,121944.82462213264,1.0,1,0.0,2,3,8.5,0.0,Spain,Male,USD,0
394,54,3,40115.46725324357,2,0,1,3861.7743353835967,1.6,0,10.3851,0,3,6.0,38205.21,Spain,Female,USD,1
751,39,1,205875.88380366957,1,1,0,50723.95356989372,2.8000000000000003,0,4.0587,2,1,1.5,196072.27,France,Female,USD,0
555,35,3,0.0,1,1,0,84686.95427532867,1.8000000000000003,1,0.0,3,1,3.5,0.0,France,Male,ZWL,0
411,52,8,154643.17423699162,1,1,0,13963.240168060402,2.5500000000000003,0,11.0742,2,1,8.5,147279.21,Spain,Female,USD,0
769,65,2,0.0,2,1,0,92551.47523096844,2.1500000000000004,1,0.0,2,2,3.0,0.0,Spain,Male,ZWL,0
705,68,6,152797.70066229536,2,1,1,90387.15418040814,2.1,0,1.6905,0,4,9.0,145521.62,Germany,Female,USD,0
817,35,3,41117.70088880131,1,1,1,175423.0983735812,1.25,0,0.2344,1,3,5.5,39159.72,France,Female,USD,0
657,69,2,0.0,1,1,0,57729.946226453525,1.8000000000000003,1,0.0,3,1,2.5,0.0,France,Female,ZWL,0
368,47,4,0.0,1,1,1,81570.48890709982,1.0,1,0.0,2,3,6.5,0.0,Germany,Male,ZWL,1
714,54,1,134630.3081102051,2,1,1,47224.51087406717,2.1,0,2.8508,0,4,4.0,128219.34,France,Male,USD,0
649,57,9,62101.22386736089,2,0,1,159933.07333314075,1.85,0,0.3883,0,3,12.0,59144.02,France,Female,USD,0
356,23,3,136998.08149197028,1,0,1,158234.24974901875,1.75,0,0.8658,1,2,5.5,130474.36,Germany,Female,USD,0
598,32,6,225305.08922445236,1,0,0,188947.8246717536,2.8000000000000003,0,1.1924,2,0,6.5,214576.28,France,Male,USD,0
777,74,1,40063.617396954985,2,1,1,166346.39755374487,1.6,0,0.2408,0,4,4.0,38155.83,Spain,Female,USD,0
466,52,9,178894.29920074198,1,1,0,161311.11243355818,2.5500000000000003,0,1.109,2,1,9.5,170375.52,Spain,Male,USD,1
417,43,5,37291.01932432821,1,0,1,47225.44813782795,1.25,0,0.7896,1,2,7.5,35515.26,France,Male,USD,0
383,58,4,91157.00355678902,1,1,1,136703.9905265589,1.5,0,0.6668,1,3,6.5,86816.19,Spain,Male,USD,1
543,44,2,174119.3966319705,1,1,1,8387.552109740625,1.75,0,20.7568,1,3,4.5,165828.0,France,Male,USD,0
674,47,4,0.0,2,1,0,4443.234974838886,2.1500000000000004,1,0.0,2,2,5.0,0.0,Spain,Male,USD,1
404,28,9,172783.27319860147,1,1,1,60791.71795673273,1.75,0,2.8422,1,3,11.5,164555.5,France,Female,USD,0
615,69,6,241205.917350362,1,0,0,173839.1253853445,2.8000000000000003,0,1.3875,2,0,6.5,229719.92,France,Male,USD,0
829,41,2,242706.3978737117,1,1,0,55093.32174283423,2.8000000000000003,0,4.4053,2,1,2.5,231148.95,Germany,Male,USD,1
391,72,7,229568.5375443658,2,1,0,185792.344295392,3.1500000000000004,0,1.2356,1,2,8.0,218636.7,France,Female,USD,0
646,31,6,128759.22800021787,3,1,1,44109.99597596791,2.4499999999999997,0,2.919,0,4,9.5,122627.84,Spain,Female,USD,0
810,40,3,0.0,1,1,0,9491.403962744702,1.8000000000000003,1,0.0,3,1,3.5,0.0,France,Female,USD,0
580,26,4,77102.15413060594,3,0,0,118786.70776543838,3.0,0,0.6491,1,1,5.5,73430.62,France,Male,USD,0
802,59,9,0.0,2,1,0,163471.98474241566,2.1500000000000004,1,0.0,2,2,10.0,0.0,Germany,Female,ZWL,0
727,64,3,0.0,2,1,1,114013.38379023,1.35,1,0.0,1,4,6.0,0.0,France,Male,ZWL,0
743,35,1,248685.92618386872,1,1,1,101057.2357981039,2.0,0,2.4608,1,3,3.5,236843.74,France,Male,USD,0
359,70,8,138538.0542413534,1,0,0,87791.77116853434,2.5500000000000003,0,1.578,2,0,8.5,131941.0,Germany,Male,USD,0
707,68,0,88956.22372067889,2,1,0,143192.47987260044,2.6500000000000004,0,0.6212,1,2,1.0,84720.21,Spain,Male,USD,1
824,56,7,162629.93081830742,4,1,0,193124.66921232975,3.6,0,0.8421,1,2,9.0,154885.65,Spain,Male,USD,0
793,36,3,20492.2032739543,2,0,1,62838.65602553642,1.6,0,0.3261,0,3,6.0,19516.38,Spain,Female,USD,0
477,22,8,36588.765348298126,2,0,1,68560.44665672151,1.6,0,0.5337,0,3,11.0,34846.44,France,Male,USD,0
528,70,2,169279.11393528557,2,1,0,13389.340869370426,2.9000000000000004,0,12.6419,1,2,3.0,161218.2,Germany,Female,USD,1
754,35,6,39601.76228621969,2,1,1,33054.28157168792,1.6,0,1.198,0,4,9.0,37715.96,France,Male,USD,0
741,50,2,191298.6619515748,2,1,0,105214.53898536447,2.9000000000000004,0,1.8182,1,2,3.0,182189.2,Germany,Male,USD,0
542,61,9,24857.98109731053,2,1,1,63089.51970929774,1.6,0,0.394,0,4,12.0,23674.27,France,Male,USD,0
441,55,6,152533.50140730594,1,1,1,163941.00699366198,1.75,0,0.9304,1,3,8.5,145270.0,Spain,Female,USD,0
718,30,1,172835.69457425585,3,1,1,124431.3375911808,2.4499999999999997,0,1.389,0,4,4.5,164605.42,Germany,Female,USD,0
580,66,2,0.0,1,1,1,146259.1964073723,1.0,1,0.0,2,3,4.5,0.0,Spain,Female,ZWL,0
427,26,7,222567.75125822207,2,1,0,88340.96267518552,3.1500000000000004,0,2.5194,1,2,8.0,211969.29,Spain,Female,USD,0
434,43,6,84936.6945207717,1,1,1,19930.80213396956,1.5,0,4.2614,1,3,8.5,80892.09,Spain,Female,USD,0
379,70,2,0.0,1,1,0,112472.17023930066,1.8000000000000003,1,0.0,3,1,2.5,0.0,Spain,Female,ZWL,0
562,18,7,29375.111971327988,1,1,1,51843.33078237931,1.25,0,0.5666,1,3,9.5,5875.02,France,Female,ZWL,0
398,29,8,209150.72544274645,1,0,0,104465.97832002188,2.8000000000000003,0,2.0021,2,0,8.5,199191.17,France,Male,USD,0
614,41,1,223654.96596511704,2,1,1,22324.18833794772,2.35,0,10.0181,0,4,4.0,213004.73,France,Male,USD,0
494,18,1,0.0,4,1,1,155838.151268118,2.05,1,0.0,1,4,5.0,0.0,France,Male,ZWL,0
418,21,6,77519.06686639015,2,1,1,79881.5299844477,1.85,0,0.9704,0,4,9.0,73827.68,Germany,Male,USD,1
407,24,7,24962.449654171272,1,0,0,133032.18554216792,2.0500000000000003,0,0.1876,2,0,7.5,4992.49,Germany,Male,ZWL,0
534,69,4,111185.35643996023,1,1,0,98482.16193496044,2.5500000000000003,0,1.129,2,1,4.5,105890.82,Germany,Male,USD,0
411,45,1,0.0,2,1,1,93355.97261995552,1.35,1,0.0,1,4,4.0,0.0,Spain,Male,USD,0
828,54,9,137245.92030712898,1,1,0,76381.08707947283,2.5500000000000003,0,1.7968,2,1,9.5,130710.4,Spain,Male,USD,1
657,72,4,0.0,2,0,1,96561.69843108808,1.35,1,0.0,1,3,7.0,0.0,France,Female,ZWL,0
794,69,2,0.0,2,0,0,122540.90396596566,2.1500000000000004,1,0.0,2,1,3.0,0.0,France,Male,ZWL,0
645,22,8,0.0,2,1,1,44829.9541191754,1.35,1,0.0,1,4,11.0,0.0,France,Male,ZWL,1
515,56,1,217520.04172429148,2,1,0,142888.87096874352,3.1500000000000004,0,1.5223,1,2,2.0,207161.94,France,Female,USD,0
520,49,8,205154.85703469728,4,1,1,97126.45698553302,3.05,0,2.1122,0,4,12.0,195385.58,Spain,Male,USD,0
412,66,1,60485.68525494696,2,1,1,123355.96710294989,1.85,0,0.4903,0,4,4.0,57605.41,Germany,Male,USD,1
496,48,0,112838.1974803716,4,1,0,94522.56109664976,3.6,0,1.1938,1,2,2.0,107464.95,Germany,Male,USD,0
833,61,9,51151.83913631053,2,1,1,32748.25851323472,1.85,0,1.5619,0,4,12.0,48716.04,Spain,Male,USD,0
655,32,5,0.0,1,1,0,65559.44066417178,1.8000000000000003,1,0.0,3,1,5.5,0.0,Spain,Male,ZWL,0
510,20,5,203195.1621943823,2,1,0,68125.06367571729,3.1500000000000004,0,2.9826,1,2,6.0,193519.2,France,Male,USD,0
490,66,3,0.0,1,0,0,81040.09606995831,1.8000000000000003,1,0.0,3,0,3.5,0.0,Germany,Male,ZWL,1
683,63,1,0.0,2,1,0,63813.80334211344,2.1500000000000004,1,0.0,2,2,2.0,0.0,France,Female,USD,0
446,64,9,0.0,1,1,1,134944.58260884383,1.0,1,0.0,2,3,11.5,0.0,France,Female,USD,0
795,64,2,37253.82332709948,1,1,1,198835.1697115403,1.25,0,0.1874,1,3,4.5,35479.83,France,Female,USD,0
570,32,5,0.0,2,0,0,141243.225206347,2.1500000000000004,1,0.0,2,1,6.0,0.0,France,Male,ZWL,0
392,68,3,85282.90263452029,4,1,1,191773.68049481852,2.55,0,0.4447,0,4,7.0,81221.81,France,Male,USD,0
782,60,4,0.0,1,1,1,147655.6999269597,1.0,1,0.0,2,3,6.5,0.0,France,Female,ZWL,1
641,35,8,244246.46236668568,2,0,0,117328.52968650871,3.1500000000000004,0,2.0817,1,1,9.0,232615.68,Germany,Male,USD,0
727,38,4,0.0,2,0,0,141130.2875024657,2.1500000000000004,1,0.0,2,1,5.0,0.0,Spain,Female,USD,0
457,27,9,0.0,3,1,0,163342.39287638446,2.5,1,0.0,2,2,10.5,0.0,France,Male,ZWL,1
615,38,7,65916.31696168466,2,1,0,166727.6683441179,2.6500000000000004,0,0.3954,1,2,8.0,62777.44,France,Female,USD,0
444,43,1,114555.54768024644,3,1,0,25654.882694784712,3.25,0,4.4651,1,2,2.5,109100.52,Spain,Male,USD,0
611,58,5,243915.42231734612,4,0,1,125098.24130537824,3.05,0,1.9498,0,3,9.0,232300.4,France,Male,USD,0
662,73,5,46588.91342146414,3,1,1,32000.110104737498,1.9499999999999997,0,1.4559,0,4,8.5,44370.39,Spain,Female,USD,0
734,20,4,0.0,2,1,1,146003.06048341742,1.35,1,0.0,1,4,7.0,0.0,Germany,Female,ZWL,0
420,18,5,0.0,1,1,1,1117.6961803690658,1.0,1,0.0,2,3,7.5,0.0,France,Male,USD,1
791,38,4,222744.5386748938,2,1,1,128254.58535227866,2.35,0,1.7367,0,4,7.0,212137.66,France,Female,USD,0
568,28,1,209268.86381185488,2,0,0,9800.123912290675,3.1500000000000004,0,21.3515,1,1,2.0,199303.68,France,Male,USD,0
370,33,4,221756.9645715986,3,1,1,180211.9909217928,2.6999999999999997,0,1.2305,0,4,7.5,211197.11,France,Male,USD,0
441,52,0,224023.29778136045,2,1,0,148821.39434289624,3.1500000000000004,0,1.5053,1,2,1.0,213355.52,France,Female,USD,0
476,38,2,62352.68230405972,2,1,0,184156.11703702764,2.6500000000000004,0,0.3386,1,2,3.0,59383.51,Germany,Female,USD,1
429,58,6,196888.4108304509,1,1,1,97012.79619124322,1.75,0,2.0295,1,3,8.5,187512.77,France,Female,USD,1
661,28,3,173697.1865555477,2,1,0,572.9010767022367,2.9000000000000004,0,302.6605,1,2,4.0,165425.89,Germany,Male,USD,0
587,48,7,0.0,2,0,1,186870.01384735768,1.35,1,0.0,1,3,10.0,0.0,Germany,Male,ZWL,0
820,66,2,0.0,1,0,0,53711.29653579072,1.8000000000000003,1,0.0,3,0,2.5,0.0,France,Female,ZWL,0
721,18,6,109228.82916734111,2,0,1,66913.53056011982,2.1,0,1.6324,0,3,9.0,104027.46,France,Male,USD,0
753,58,1,184293.4336136403,1,1,1,110677.00836647287,1.75,0,1.6651,1,3,3.5,175517.56,France,Male,USD,0
835,49,7,74762.47673592503,2,1,0,43414.88001465902,2.6500000000000004,0,1.722,1,2,8.0,71202.36,France,Male,USD,0
531,20,2,206813.17965236987,1,0,0,191963.21250087745,2.8000000000000003,0,1.0774,2,0,2.5,196964.93,Germany,Male,USD,0
374,49,5,78635.09124303889,1,1,0,25940.73638539212,2.3000000000000003,0,3.0312,2,1,5.5,74890.56,France,Male,USD,1
505,59,1,20371.22125662302,2,1,0,66811.59380319659,2.4000000000000004,0,0.3049,1,2,2.0,4074.24,Spain,Male,ZWL,0
354,22,6,0.0,4,1,1,192366.9570812719,2.05,1,0.0,1,4,10.0,0.0,France,Female,USD,1
469,74,3,0.0,3,1,0,198266.6543871801,2.5,1,0.0,2,2,4.5,0.0,France,Female,ZWL,0
626,60,5,175712.62471960846,2,1,1,128311.0385056838,2.1,0,1.3694,0,4,8.0,167345.36,Germany,Male,USD,0
367,54,1,247430.13561101665,2,1,1,156924.2918091747,2.35,0,1.5767,0,4,4.0,235647.75,Germany,Male,USD,0
780,29,2,43774.90493856981,1,0,1,115379.7671758674,1.25,0,0.3794,1,2,4.5,41690.39,France,Male,USD,0
547,31,2,92695.92952674472,1,1,0,92852.06497997975,2.3000000000000003,0,0.9983,2,1,2.5,88281.84,France,Male,USD,0
406,61,3,101186.3215998332,1,1,0,69116.89138662704,2.5500000000000003,0,1.464,2,1,3.5,96367.93,Germany,Female,USD,0
442,68,0,0.0,2,1,1,47065.91176420069,1.35,1,0.0,1,4,3.0,0.0,France,Female,USD,0
368,26,5,20321.11700446139,2,0,1,53216.339284764144,1.6,0,0.3819,0,3,8.0,4064.22,France,Female,ZWL,0
733,24,5,0.0,2,1,0,97438.56277735432,2.1500000000000004,1,0.0,2,2,6.0,0.0,Germany,Female,USD,0
702,33,3,108131.05336376531,2,1,1,188649.3629426031,2.1,0,0.5732,0,4,6.0,102981.96,France,Male,USD,0
542,45,7,0.0,1,1,1,173999.56565874664,1.0,1,0.0,2,3,9.5,0.0,Germany,Male,USD,0
586,24,4,0.0,1,1,1,65476.30946814175,1.0,1,0.0,2,3,6.5,0.0,Germany,Female,USD,0
736,31,9,0.0,2,1,0,190411.23207743675,2.1500000000000004,1,0.0,2,2,10.0,0.0,Germany,Female,ZWL,0
775,49,3,73364.0754635341,2,1,1,31521.94822714541,1.85,0,2.3273,0,4,6.0,69870.55,Germany,Male,USD,0
626,25,6,0.0,2,1,1,108630.92440356122,1.35,1,0.0,1,4,9.0,0.0,Germany,Male,USD,0
576,44,9,52091.15319706735,1,0,0,137894.17095528904,2.3000000000000003,0,0.3778,2,0,9.5,49610.62,Germany,Female,USD,0
582,70,9,0.0,3,1,1,188356.7897758069,1.6999999999999997,1,0.0,1,4,12.5,0.0,Spain,Male,ZWL,0
389,67,7,0.0,1,0,1,47077.6683264615,1.0,1,0.0,2,2,9.5,0.0,France,Female,ZWL,0
672,74,1,72246.70281501702,1,1,1,61604.11336797294,1.5,0,1.1727,1,3,3.5,68806.38,France,Female,USD,0
502,20,0,249311.01905350684,1,1,1,23404.36860654452,2.0,0,10.6519,1,3,2.5,237439.07,Spain,Male,USD,0
476,44,5,117371.25564852353,1,1,0,67249.66685588029,2.5500000000000003,0,1.7453,2,1,5.5,111782.15,Germany,Female,USD,0
586,47,1,0.0,1,0,0,167527.3517113677,1.8000000000000003,1,0.0,3,0,1.5,0.0,France,Female,ZWL,0
835,51,7,107695.6460743339,1,1,1,83194.8401301258,1.75,0,1.2945,1,3,9.5,102567.28,Spain,Female,USD,0
842,43,4,77059.18788054217,1,0,0,197745.1224539433,2.3000000000000003,0,0.3897,2,0,4.5,73389.7,France,Male,USD,1
404,54,1,0.0,1,1,1,79333.47867804927,1.0,1,0.0,2,3,3.5,0.0,Germany,Male,ZWL,1
817,57,4,40210.10023528625,1,1,0,143543.1214290148,2.0500000000000003,0,0.2801,2,1,4.5,38295.33,Spain,Female,USD,1
785,68,1,0.0,1,0,0,79946.76343424362,1.8000000000000003,1,0.0,3,0,1.5,0.0,Spain,Male,ZWL,0
521,39,5,127989.85227889054,2,0,1,47677.09496985375,2.1,0,2.6845,0,3,8.0,121895.1,France,Male,USD,0
458,49,7,127394.11049447808,1,1,0,35651.09563762675,2.5500000000000003,0,3.5733,2,1,7.5,121327.72,Germany,Male,USD,0
703,58,1,0.0,2,1,1,34754.352470447455,1.35,1,0.0,1,4,4.0,0.0,France,Female,ZWL,1
818,19,5,209843.11255645627,1,1,0,129194.28833037302,2.8000000000000003,0,1.6242,2,1,5.5,199850.58,France,Male,USD,0
533,64,5,56033.34319197044,2,1,1,14722.239286923485,1.85,0,3.8058,0,4,8.0,53365.09,France,Male,USD,0
788,25,0,194845.4953285867,2,1,1,127680.1646086484,2.1,0,1.526,0,4,3.0,185567.14,Germany,Male,USD,0
717,59,8,55664.92642455694,2,1,1,83093.30096635244,1.85,0,0.6699,0,4,11.0,53014.22,France,Female,USD,0
820,24,7,77503.20212774003,2,0,1,132607.53688704708,1.85,0,0.5845,0,3,10.0,73812.57,France,Female,USD,0
547,36,3,74772.82267984454,1,0,0,4446.663309199162,2.3000000000000003,0,16.8117,2,0,3.5,71212.21,Germany,Male,USD,0
720,50,6,65101.27091349904,2,0,0,27542.79488652144,2.6500000000000004,0,2.3636,1,1,7.0,62001.21,Germany,Female,USD,0
722,71,3,238617.75760199985,3,0,1,174495.57194202088,2.6999999999999997,0,1.3675,0,3,6.5,227255.01,Spain,Male,USD,0
810,19,7,0.0,1,1,1,199974.8776349323,1.0,1,0.0,2,3,9.5,0.0,Spain,Female,ZWL,0
846,20,9,126391.52550432652,2,1,1,168418.86336328252,2.1,0,0.7505,0,4,12.0,120372.88,France,Female,USD,0
436,45,1,186441.75295451708,1,1,0,25151.258195319308,2.5500000000000003,0,7.4125,2,1,1.5,177563.57,Spain,Female,USD,0
550,31,1,0.0,2,0,1,40252.29853555588,1.35,1,0.0,1,3,4.0,0.0,Spain,Male,USD,0
686,32,2,12808.17686276431,2,1,1,35268.749170126,1.6,0,0.3631,0,4,5.0,12198.26,France,Female,USD,1
671,38,3,0.0,2,1,0,173548.56907309938,2.1500000000000004,1,0.0,2,2,4.0,0.0,France,Female,ZWL,1
624,31,5,78167.77101139944,1,0,0,165410.09828923052,2.3000000000000003,0,0.4726,2,0,5.5,74445.5,France,Female,USD,0
560,57,4,219563.6590245932,1,0,0,82298.88243346768,2.8000000000000003,0,2.6678,2,0,4.5,209108.25,France,Male,USD,0
740,35,9,127876.83083896792,1,1,0,24806.092265353825,2.5500000000000003,0,5.1548,2,1,9.5,121787.46,Germany,Male,USD,0
467,71,9,159858.10928562688,3,1,0,177708.4393000545,3.25,0,0.8995,1,2,10.5,152245.82,Germany,Female,USD,0
540,66,6,238230.38337852052,1,1,0,116412.26934532446,2.8000000000000003,0,2.0464,2,1,6.5,226886.08,Germany,Male,USD,0
391,56,5,218790.57541209916,1,1,1,195413.02176288096,2.0,0,1.1196,1,3,7.5,208371.98,Germany,Female,USD,0
391,37,3,200233.26095557876,2,1,0,56444.33307671308,3.1500000000000004,0,3.5474,1,2,4.0,190698.34,France,Male,USD,0
664,18,9,137375.3860813137,2,1,0,7490.456438566792,2.9000000000000004,0,18.3376,1,2,10.0,130833.7,Spain,Female,USD,0
625,26,8,50629.55040444105,2,1,1,196455.67867709385,1.85,0,0.2577,0,4,11.0,48218.62,France,Male,USD,0
678,26,6,211851.0367559178,1,1,1,70609.35752114972,2.0,0,3.0003,1,3,8.5,201762.89,Spain,Male,USD,0
366,60,0,32547.294089580595,1,0,0,89643.72982727404,2.0500000000000003,0,0.3631,2,0,0.5,30997.42,France,Male,USD,0
632,68,7,222990.08458167856,1,0,1,17432.983767196478,2.0,0,12.7905,1,2,9.5,212371.51,Spain,Male,USD,0
780,55,3,193901.53634544244,1,0,0,118606.16734596236,2.5500000000000003,0,1.6348,2,0,3.5,184668.13,France,Male,USD,0
607,56,6,202829.2077699964,1,1,0,52024.391154651865,2.8000000000000003,0,3.8987,2,1,6.5,193170.67,France,Female,USD,0
412,46,1,100527.26081650027,1,0,0,136259.4853483879,2.5500000000000003,0,0.7378,2,0,1.5,95740.25,France,Female,USD,0
411,32,2,30390.84967103519,1,1,0,152007.46658296444,2.0500000000000003,0,0.1999,2,1,2.5,28943.67,Germany,Female,USD,0
449,37,0,184469.035827962,1,1,0,57548.69012901111,2.5500000000000003,0,3.2054,2,1,0.5,175684.8,Spain,Female,USD,0
368,55,1,0.0,2,1,0,88300.85927914172,2.1500000000000004,1,0.0,2,2,2.0,0.0,France,Male,USD,0
