RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
23,15787201,Customer_22,544,Germany,Female,29,3,14479.896098301515,2,1,0,136355.96886874866,1
24,15321879,Customer_23,563,Spain,Male,62,9,29281.672773672733,1,1,0,108505.39643050892,0
25,15718315,Customer_24,718,Spain,Female,37,2,31483.5180949855,1,1,1,187484.0918872004,0
26,15327069,Customer_25,691,Spain,Female,62,7,55469.98763076731,2,1,1,108824.28437775052,1
27,15776997,Customer_26,463,Germany,Male,40,5,32626.24326093902,2,1,1,198195.25903188396,0
28,15199041,Customer_27,591,France,Male,39,8,35584.916246108165,1,0,1,193880.8026853827,0
29,15791743,Customer_28,473,Spain,Male,51,4,0.0,2,1,1,80308.18253303532,0
30,15103355,Customer_29,654,Spain,Female,38,5,38403.323793668365,1,1,0,6901.065372649989,0
31,15235796,Customer_30,425,France,Male,68,8,121607.87598473638,1,1,0,161513.5094214698,0
32,15214176,Customer_31,660,France,Female,26,3,25151.007012551425,2,1,1,170513.95964289253,0
33,15184779,Customer_32,818,Spain,Female,27,9,74657.69214254286,2,1,1,110592.30419886298,0
34,15347449,Customer_33,661,Spain,Female,66,6,231843.8294692154,1,1,1,146530.1263842224,0
35,15421909,Customer_34,545,Spain,Male,27,9,17441.63772825973,1,0,1,95418.13017745943,0
36,15989436,Customer_35,700,Spain,Male,69,9,220470.82554137622,1,1,0,126569.31986843751,1
37,15258795,Customer_36,393,Germany,Male,62,5,192306.2218415103,4,1,0,102434.72858132336,1
38,15486232,Customer_37,764,Germany,Male,69,5,231019.86927882634,1,0,1,95972.63738074034,0
39,15917040,Customer_38,535,Germany,Female,74,5,198849.17901341125,3,0,0,164038.14941756704,1
40,15500186,Customer_39,692,France,Male,47,3,0.0,1,1,1,35901.98566165997,0
41,15156730,Customer_40,595,Germany,Male,50,9,35853.731149917425,1,0,0,84921.1381307081,1
42,15870910,Customer_41,786,Germany,Male,19,5,210531.07979120544,1,1,0,134848.1799380249,0
43,15384681,Customer_42,433,Germany,Male,66,6,124509.04109423807,1,1,1,197113.92851584617,0
44,15149503,Customer_43,556,Germany,Female,49,1,94378.97867327114,1,1,1,114344.9017543134,0
45,15654811,Customer_44,500,France,Female,62,8,46925.92929630795,1,1,0,110040.57821188096,0
46,15527035,Customer_45,505,France,Female,34,6,10160.72039217166,1,0,1,101606.37753970156,0
47,15648143,Customer_46,365,France,Male,45,2,164230.98462575063,2,0,0,10388.802342966317,0
48,15452366,Customer_47,514,France,Female,62,9,184245.30760352418,1,1,0,130174.14448699092,0
49,15065725,Customer_48,754,France,Female,34,9,103141.29868697058,3,1,0,192764.7197407631,0
50,15129981,Customer_49,812,Spain,Male,68,6,0.0,2,0,0,144498.3298772663,0
51,15084654,Customer_50,494,France,Male,31,9,0.0,1,1,0,63920.88700830024,0
52,15953277,Customer_51,847,France,Female,69,9,50377.067329760524,1,1,1,131385.72266808944,0
53,15905778,Customer_52,386,Germany,Female,27,4,23489.993557206042,2,1,1,100785.16272888953,0
54,15591723,Customer_53,682,Germany,Female,51,8,96315.50308982431,2,1,1,133319.77356192732,0
55,15319030,Customer_54,752,France,Male,31,5,157878.73419062982,1,1,0,199493.90046251265,0
56,15328947,Customer_55,763,Spain,Male,34,6,0.0,1,1,1,121944.82462213263,0
57,15555839,Customer_56,394,Spain,Female,54,3,40115.46725324357,2,0,1,3861.7743353835967,1
58,15902648,Customer_57,751,France,Female,39,1,205875.88380366954,1,1,0,50723.95356989372,0
59,15273538,Customer_58,555,France,Male,35,3,0.0,1,1,0,84686.95427532867,0
60,15331236,Customer_59,411,Spain,Female,52,8,154643.17423699162,1,1,0,13963.240168060402,0
61,15528178,Customer_60,769,Spain,Male,65,2,0.0,2,1,0,92551.47523096844,0
62,15565894,Customer_61,705,Germany,Female,68,6,152797.70066229536,2,1,1,90387.15418040814,0
63,15489492,Customer_62,817,France,Female,35,3,41117.70088880131,1,1,1,175423.0983735812,0
64,15256840,Customer_63,657,France,Female,69,2,0.0,1,1,0,57729.946226453525,0
65,15473254,Customer_64,368,Germany,Male,47,4,0.0,1,1,1,81570.48890709982,1
66,15349457,Customer_65,714,France,Male,54,1,134630.3081102051,2,1,1,47224.51087406717,0
67,15665987,Customer_66,649,France,Female,57,9,62101.22386736089,2,0,1,159933.07333314075,0
68,15270936,Customer_67,356,Germany,Female,23,3,136998.08149197028,1,0,1,158234.24974901875,0
69,15239931,Customer_68,598,France,Male,32,6,225305.08922445233,1,0,0,188947.82467175362,0
70,15239629,Customer_69,777,Spain,Female,74,1,40063.617396954985,2,1,1,166346.39755374487,0
71,15205041,Customer_70,466,Spain,Male,52,9,178894.29920074198,1,1,0,161311.11243355818,1
72,15698361,Customer_71,417,France,Male,43,5,37291.01932432821,1,0,1,47225.44813782795,0
73,15731912,Customer_72,383,Spain,Male,58,4,91157.00355678902,1,1,1,136703.9905265589,1
74,15417113,Customer_73,543,France,Male,44,2,174119.3966319705,1,1,1,8387.552109740625,0
75,15068148,Customer_74,674,Spain,Male,47,4,0.0,2,1,0,4443.234974838886,1
76,15777089,Customer_75,404,France,Female,28,9,172783.27319860147,1,1,1,60791.71795673273,0
77,15648531,Customer_76,615,France,Male,69,6,241205.917350362,1,0,0,173839.12538534447,0
78,15251995,Customer_77,829,Germany,Male,41,2,242706.3978737117,1,1,0,55093.32174283423,1
79,15906606,Customer_78,391,France,Female,72,7,229568.5375443658,2,1,0,185792.34429539202,0
80,15678843,Customer_79,646,Spain,Female,31,6,128759.22800021787,3,1,1,44109.99597596791,0
81,15910790,Customer_80,810,France,Female,40,3,0.0,1,1,0,9491.403962744702,0
82,15572843,Customer_81,580,France,Male,26,4,77102.15413060594,3,0,0,118786.70776543838,0
83,15256508,Customer_82,802,Germany,Female,59,9,0.0,2,1,0,163471.98474241566,0
84,15803591,Customer_83,727,France,Male,64,3,0.0,2,1,1,114013.38379023,0
85,15896942,Customer_84,743,France,Male,35,1,248685.92618386872,1,1,1,101057.2357981039,0
86,15106530,Customer_85,359,Germany,Male,70,8,138538.0542413534,1,0,0,87791.77116853434,0
87,15604365,Customer_86,707,Spain,Male,68,0,88956.22372067889,2,1,0,143192.47987260044,1
88,15822352,Customer_87,824,Spain,Male,56,7,162629.93081830742,4,1,0,193124.66921232978,0
89,15460337,Customer_88,793,Spain,Female,36,3,20492.2032739543,2,0,1,62838.656025536424,0
90,15724839,Customer_89,477,France,Male,22,8,36588.765348298126,2,0,1,68560.44665672151,0
91,15805889,Customer_90,528,Germany,Female,70,2,169279.11393528557,2,1,0,13389.340869370426,1
92,15459773,Customer_91,754,France,Male,35,6,39601.76228621969,2,1,1,33054.28157168792,0
93,15208261,Customer_92,741,Germany,Male,50,2,191298.66195157476,2,1,0,105214.53898536449,0
94,15764469,Customer_93,542,France,Male,61,9,24857.981097310534,2,1,1,63089.51970929774,0
95,15341097,Customer_94,441,Spain,Female,55,6,152533.50140730594,1,1,1,163941.00699366198,0
96,15315139,Customer_95,718,Germany,Female,30,1,172835.69457425585,3,1,1,124431.3375911808,0
97,15171829,Customer_96,580,Spain,Female,66,2,0.0,1,1,1,146259.1964073723,0
98,15271836,Customer_97,427,Spain,Female,26,7,222567.75125822212,2,1,0,88340.96267518552,0
99,15438974,Customer_98,434,Spain,Female,43,6,84936.6945207717,1,1,1,19930.802133969562,0
100,15989913,Customer_99,379,Spain,Female,70,2,0.0,1,1,0,112472.17023930066,0
101,15202283,Customer_100,562,France,Female,18,7,29375.111971327988,1,1,1,51843.33078237931,0
102,15196769,Customer_101,398,France,Male,29,8,209150.72544274645,1,0,0,104465.97832002187,0
103,15561353,Customer_102,614,France,Male,41,1,223654.96596511704,2,1,1,22324.18833794772,0
104,15223165,Customer_103,494,France,Male,18,1,0.0,4,1,1,155838.151268118,0
105,15623587,Customer_104,418,Germany,Male,21,6,77519.06686639015,2,1,1,79881.5299844477,1
106,15950110,Customer_105,407,Germany,Male,24,7,24962.449654171272,1,0,0,133032.18554216792,0
107,15535822,Customer_106,534,Germany,Male,69,4,111185.35643996025,1,1,0,98482.16193496044,0
108,15487879,Customer_107,411,Spain,Male,45,1,0.0,2,1,1,93355.97261995553,0
109,15564685,Customer_108,828,Spain,Male,54,9,137245.92030712898,1,1,0,76381.08707947283,1
110,15782038,Customer_109,657,France,Female,72,4,0.0,2,0,1,96561.69843108807,0
111,15353531,Customer_110,794,France,Male,69,2,0.0,2,0,0,122540.90396596566,0
112,15263160,Customer_111,645,France,Male,22,8,0.0,2,1,1,44829.9541191754,1
113,15579879,Customer_112,515,France,Female,56,1,217520.04172429148,2,1,0,142888.87096874352,0
114,15220884,Customer_113,520,Spain,Male,49,8,205154.85703469728,4,1,1,97126.45698553302,0
115,15023247,Customer_114,412,Germany,Male,66,1,60485.68525494696,2,1,1,123355.96710294989,1
116,15024300,Customer_115,496,Germany,Male,48,0,112838.19748037161,4,1,0,94522.56109664976,0
117,15467281,Customer_116,833,Spain,Male,61,9,51151.83913631053,2,1,1,32748.258513234716,0
118,15607086,Customer_117,655,Spain,Male,32,5,0.0,1,1,0,65559.44066417178,0
119,15533556,Customer_118,510,France,Male,20,5,203195.1621943823,2,1,0,68125.06367571729,0
120,15348951,Customer_119,490,Germany,Male,66,3,0.0,1,0,0,81040.09606995831,1
121,15274329,Customer_120,683,France,Female,63,1,0.0,2,1,0,63813.80334211344,0
122,15719064,Customer_121,446,France,Female,64,9,0.0,1,1,1,134944.58260884383,0
123,15742139,Customer_122,795,France,Female,64,2,37253.823327099475,1,1,1,198835.1697115403,0
124,15432315,Customer_123,570,France,Male,32,5,0.0,2,0,0,141243.225206347,0
125,15926075,Customer_124,392,France,Male,68,3,85282.90263452029,4,1,1,191773.68049481855,0
126,15516588,Customer_125,782,France,Female,60,4,0.0,1,1,1,147655.6999269597,1
127,15236584,Customer_126,641,Germany,Male,35,8,244246.46236668568,2,0,0,117328.52968650873,0
128,15562332,Customer_127,727,Spain,Female,38,4,0.0,2,0,0,141130.2875024657,0
129,15837646,Customer_128,457,France,Male,27,9,0.0,3,1,0,163342.39287638446,1
130,15978732,Customer_129,615,France,Female,38,7,65916.31696168466,2,1,0,166727.6683441179,0
131,15376896,Customer_130,444,Spain,Male,43,1,114555.54768024645,3,1,0,25654.882694784712,0
132,15048984,Customer_131,611,France,Male,58,5,243915.42231734615,4,0,1,125098.24130537825,0
133,15302918,Customer_132,662,Spain,Female,73,5,46588.91342146414,3,1,1,32000.110104737498,0
134,15264712,Customer_133,734,Germany,Female,20,4,0.0,2,1,1,146003.06048341742,0
135,15120151,Customer_134,420,France,Male,18,5,0.0,1,1,1,1117.6961803690658,1
136,15455808,Customer_135,791,France,Female,38,4,222744.5386748938,2,1,1,128254.58535227866,0
137,15985067,Customer_136,568,France,Male,28,1,209268.86381185488,2,0,0,9800.123912290677,0
138,15133767,Customer_137,370,France,Male,33,4,221756.9645715986,3,1,1,180211.99092179278,0
139,15648663,Customer_138,441,France,Female,52,0,224023.29778136045,2,1,0,148821.39434289624,0
140,15703550,Customer_139,476,Germany,Female,38,2,62352.68230405972,2,1,0,184156.11703702764,1
141,15136330,Customer_140,429,France,Female,58,6,196888.4108304509,1,1,1,97012.79619124322,1
142,15480754,Customer_141,661,Germany,Male,28,3,173697.1865555477,2,1,0,572.9010767022367,0
143,15301648,Customer_142,587,Germany,Male,48,7,0.0,2,0,1,186870.01384735768,0
144,15688519,Customer_143,820,France,Female,66,2,0.0,1,0,0,53711.296535790716,0
145,15013986,Customer_144,721,France,Male,18,6,109228.82916734113,2,0,1,66913.53056011982,0
146,15586146,Customer_145,753,France,Male,58,1,184293.4336136403,1,1,1,110677.00836647287,0
147,15129312,Customer_146,835,France,Male,49,7,74762.47673592503,2,1,0,43414.88001465902,0
148,15012666,Customer_147,531,Germany,Male,20,2,206813.17965236987,1,0,0,191963.21250087745,0
149,15300804,Customer_148,374,France,Male,49,5,78635.09124303889,1,1,0,25940.736385392116,1
150,15134633,Customer_149,505,Spain,Male,59,1,20371.22125662302,2,1,0,66811.59380319659,0
151,15288998,Customer_150,354,France,Female,22,6,0.0,4,1,1,192366.9570812719,1
152,15850937,Customer_151,469,France,Female,74,3,0.0,3,1,0,198266.65438718014,0
153,15628776,Customer_152,626,Germany,Male,60,5,175712.62471960846,2,1,1,128311.0385056838,0
154,15707611,Customer_153,367,Germany,Male,54,1,247430.13561101665,2,1,1,156924.2918091747,0
155,15284806,Customer_154,780,France,Male,29,2,43774.90493856981,1,0,1,115379.7671758674,0
156,15794824,Customer_155,547,France,Male,31,2,92695.92952674472,1,1,0,92852.06497997975,0
157,15030535,Customer_156,406,Germany,Female,61,3,101186.3215998332,1,1,0,69116.89138662704,0
158,15996107,Customer_157,442,France,Female,68,0,0.0,2,1,1,47065.91176420069,0
159,15375713,Customer_158,368,France,Female,26,5,20321.11700446139,2,0,1,53216.339284764144,0
160,15838688,Customer_159,733,Germany,Female,24,5,0.0,2,1,0,97438.56277735431,0
161,15351279,Customer_160,702,France,Male,33,3,108131.05336376533,2,1,1,188649.3629426031,0
162,15913910,Customer_161,542,Germany,Male,45,7,0.0,1,1,1,173999.56565874664,0
163,15821654,Customer_162,586,Germany,Female,24,4,0.0,1,1,1,65476.30946814175,0
164,15601661,Customer_163,736,Germany,Female,31,9,0.0,2,1,0,190411.23207743673,0
165,15997079,Customer_164,775,Germany,Male,49,3,73364.0754635341,2,1,1,31521.948227145414,0
166,15647972,Customer_165,626,Germany,Male,25,6,0.0,2,1,1,108630.92440356122,0
167,15489570,Customer_166,576,Germany,Female,44,9,52091.153197067346,1,0,0,137894.17095528904,0
168,15456551,Customer_167,582,Spain,Male,70,9,0.0,3,1,1,188356.7897758069,0
169,15273109,Customer_168,389,France,Female,67,7,0.0,1,0,1,47077.6683264615,0
170,15024538,Customer_169,672,France,Female,74,1,72246.70281501702,1,1,1,61604.11336797294,0
171,15894498,Customer_170,502,Spain,Male,20,0,249311.01905350684,1,1,1,23404.36860654452,0
172,15201664,Customer_171,476,Germany,Female,44,5,117371.25564852353,1,1,0,67249.66685588029,0
173,15491234,Customer_172,586,France,Female,47,1,0.0,1,0,0,167527.3517113677,0
174,15899684,Customer_173,835,Spain,Female,51,7,107695.6460743339,1,1,1,83194.8401301258,0
175,15139182,Customer_174,842,France,Male,43,4,77059.18788054217,1,0,0,197745.1224539433,1
176,15472525,Customer_175,404,Germany,Male,54,1,0.0,1,1,1,79333.47867804927,1
177,15158338,Customer_176,817,Spain,Female,57,4,40210.10023528625,1,1,0,143543.1214290148,1
178,15184064,Customer_177,785,Spain,Male,68,1,0.0,1,0,0,79946.76343424362,0
179,15214020,Customer_178,521,France,Male,39,5,127989.85227889054,2,0,1,47677.09496985375,0
180,15623094,Customer_179,458,Germany,Male,49,7,127394.11049447808,1,1,0,35651.09563762675,0
181,15924414,Customer_180,703,France,Female,58,1,0.0,2,1,1,34754.352470447455,1
182,15897421,Customer_181,818,France,Male,19,5,209843.11255645627,1,1,0,129194.28833037302,0
183,15615270,Customer_182,533,France,Male,64,5,56033.34319197044,2,1,1,14722.239286923483,0
184,15645914,Customer_183,788,Germany,Male,25,0,194845.4953285867,2,1,1,127680.1646086484,0
185,15119176,Customer_184,717,France,Female,59,8,55664.92642455694,2,1,1,83093.30096635244,0
186,15917710,Customer_185,820,France,Female,24,7,77503.20212774003,2,0,1,132607.53688704708,0
187,15218126,Customer_186,547,Germany,Male,36,3,74772.82267984454,1,0,0,4446.663309199162,0
188,15218969,Customer_187,720,Germany,Female,50,6,65101.27091349904,2,0,0,27542.794886521442,0
189,15122409,Customer_188,722,Spain,Male,71,3,238617.75760199982,3,0,1,174495.57194202088,0
190,15547707,Customer_189,810,Spain,Female,19,7,0.0,1,1,1,199974.8776349323,0
191,15968140,Customer_190,846,France,Female,20,9,126391.52550432652,2,1,1,168418.86336328252,0
192,15253618,Customer_191,436,Spain,Female,45,1,186441.75295451708,1,1,0,25151.258195319308,0
193,15769598,Customer_192,550,Spain,Male,31,1,0.0,2,0,1,40252.29853555588,0
194,15050015,Customer_193,686,France,Female,32,2,12808.17686276431,2,1,1,35268.749170126,1
195,15772838,Customer_194,671,France,Female,38,3,0.0,2,1,0,173548.56907309938,1
196,15122096,Customer_195,624,France,Female,31,5,78167.77101139944,1,0,0,165410.09828923052,0
197,15631347,Customer_196,560,France,Male,57,4,219563.65902459322,1,0,0,82298.88243346768,0
198,15185340,Customer_197,740,Germany,Male,35,9,127876.83083896792,1,1,0,24806.092265353822,0
199,15110687,Customer_198,467,Germany,Female,71,9,159858.10928562688,3,1,0,177708.4393000545,0
200,15874371,Customer_199,540,Germany,Male,66,6,238230.38337852055,1,1,0,116412.26934532446,0
201,15411357,Customer_200,391,Germany,Female,56,5,218790.57541209913,1,1,1,195413.02176288096,0
202,15735716,Customer_201,391,France,Male,37,3,200233.26095557873,2,1,0,56444.333076713076,0
203,15105878,Customer_202,664,Spain,Female,18,9,137375.3860813137,2,1,0,7490.456438566792,0
204,15727270,Customer_203,625,France,Male,26,8,50629.55040444105,2,1,1,196455.67867709385,0
205,15973548,Customer_204,678,Spain,Male,26,6,211851.0367559178,1,1,1,70609.35752114972,0
206,15198286,Customer_205,366,France,Male,60,0,32547.294089580595,1,0,0,89643.72982727404,0
207,15773290,Customer_206,632,Spain,Male,68,7,222990.08458167856,1,0,1,17432.983767196478,0
208,15774684,Customer_207,780,France,Male,55,3,193901.53634544244,1,0,0,118606.16734596236,0
209,15164899,Customer_208,607,France,Female,56,6,202829.2077699964,1,1,0,52024.391154651865,0
210,15973324,Customer_209,412,France,Female,46,1,100527.26081650027,1,0,0,136259.4853483879,0
211,15324767,Customer_210,411,Germany,Female,32,2,30390.84967103519,1,1,0,152007.46658296444,0
212,15999238,Customer_211,449,Spain,Female,37,0,184469.03582796198,1,1,0,57548.690129011105,0
213,15861882,Customer_212,368,France,Male,55,1,0.0,2,1,0,88300.85927914172,0
214,15879858,Customer_213,366,Spain,Male,58,4,216017.8336808777,1,1,0,69007.78428019422,0
215,15379989,Customer_214,674,Germany,Male,47,1,211933.17245093256,1,1,1,195804.57444816138,1
216,15415515,Customer_215,772,Germany,Female,64,5,161753.5770893702,2,1,1,169631.04829737343,0
217,15043585,Customer_216,815,Spain,Male,43,5,37904.24447936744,1,0,0,84273.22612940925,1
218,15371369,Customer_217,722,France,Male,71,5,0.0,1,1,1,102740.86177250599,0
219,15064044,Customer_218,595,France,Female,72,2,63289.22156549752,2,1,0,196797.3837926638,0
220,15960061,Customer_219,600,Spain,Female,23,2,0.0,1,0,1,54421.23409037289,0
221,15442296,Customer_220,804,Spain,Female,56,9,191405.9116674235,3,1,1,177041.9828111585,0
222,15109556,Customer_221,430,Spain,Female,34,6,182057.45110169533,3,1,0,188309.0194111684,1
223,15526981,Customer_222,388,Spain,Female,23,3,27415.036345621545,2,1,0,91998.5020968529,0
224,15881691,Customer_223,385,France,Male,45,5,0.0,1,1,0,49528.1692165827,0
225,15767595,Customer_224,773,Spain,Female,26,7,0.0,2,0,1,31068.588607663234,0
226,15200235,Customer_225,778,France,Female,44,2,0.0,1,1,1,14568.605537446361,0
227,15025939,Customer_226,737,Spain,Male,52,8,0.0,2,1,0,36340.57003016621,0
228,15966429,Customer_227,835,France,Male,63,8,0.0,2,1,1,67344.61277126354,0
229,15960445,Customer_228,758,Germany,Male,23,2,131352.52529902072,2,1,0,154694.33386208522,0
230,15152906,Customer_229,546,Germany,Male,21,5,101214.69506383815,1,0,1,77676.6430398156,0
231,15542335,Customer_230,507,France,Female,33,4,225548.1458876147,2,1,0,72668.884581444,0
232,15288249,Customer_231,553,France,Male,40,3,0.0,1,1,1,168887.16728126135,0
233,15075766,Customer_232,545,Spain,Male,65,7,176022.54688360757,1,1,1,118904.77747284685,0
234,15408923,Customer_233,565,Spain,Female,40,9,0.0,2,0,1,92031.94460332362,0
235,15415192,Customer_234,634,France,Male,46,8,164459.3797357719,4,1,0,125906.63690365436,0
236,15568550,Customer_235,806,Spain,Male,58,8,134147.7979793108,1,1,0,112053.79714295885,1
237,15387261,Customer_236,545,Germany,Female,21,4,138026.11544388253,4,1,1,88886.03498337921,0
238,15810208,Customer_237,656,France,Male,57,4,214520.71889614718,2,0,1,79929.1481347426,1
239,15685440,Customer_238,501,France,Female,73,2,82637.99918479264,2,1,1,176991.2821204674,0
240,15652664,Customer_239,363,Spain,Male,57,8,186730.74564779305,2,0,0,36885.46708620634,0
241,15984346,Customer_240,674,Germany,Male,41,0,0.0,3,1,1,31563.115579713907,1
242,15454589,Customer_241,495,Germany,Male,23,2,26975.147683616284,1,0,1,160145.81544346552,0
243,15137848,Customer_242,775,Germany,Male,57,6,226776.7860368407,1,1,0,24127.283168687343,0
244,15617075,Customer_243,406,France,Female,23,6,108558.77565078373,2,1,1,193954.25477285494,0
245,15127948,Customer_244,560,France,Female,31,4,173964.57347314784,1,1,0,55801.96522197562,0
246,15579304,Customer_245,617,France,Female,31,5,0.0,4,1,1,170650.31562658926,0
247,15402690,Customer_246,559,France,Male,67,3,201282.44512843908,2,1,1,129430.4116801875,0
248,15499046,Customer_247,366,Germany,Female,62,7,64317.47485112532,2,0,1,161821.542441377,0
249,15451269,Customer_248,635,Spain,Female,64,3,167361.6116356316,4,1,1,79949.68585132853,1
250,15021959,Customer_249,693,France,Male,52,9,192458.56906605526,1,1,0,40639.07814237007,0
251,15660890,Customer_250,552,France,Female,23,5,38748.777321376496,1,1,0,189616.95616702363,1
252,15750216,Customer_251,448,Germany,Male,40,4,0.0,1,0,0,157363.19795793504,0
253,15905533,Customer_252,628,Spain,Male,37,9,97336.15188308043,1,1,1,30018.602708715352,0
254,15790180,Customer_253,558,Germany,Female,34,5,82400.7814054531,1,1,1,88533.55899404653,1
255,15228576,Customer_254,478,Spain,Female,37,2,0.0,2,1,0,66087.80132188198,0
256,15537833,Customer_255,684,Germany,Male,65,2,164247.70903326327,1,0,1,30938.774777584822,1
257,15914091,Customer_256,637,Spain,Male,23,9,129513.65515109776,3,1,0,118486.36157000781,0
258,15983703,Customer_257,601,France,Female,57,6,35537.32489525141,2,1,0,147965.22294667168,1
259,15165838,Customer_258,614,France,Female,45,0,37016.134335004914,1,1,1,46722.593802264375,0
260,15335674,Customer_259,620,France,Male,30,0,0.0,2,1,0,109972.57088483543,0
261,15879989,Customer_260,761,Germany,Male,46,0,0.0,1,0,1,40174.580901937414,1
262,15061087,Customer_261,757,Spain,Male,62,5,196017.5649759227,1,1,0,132197.90930816915,1
263,15593128,Customer_262,537,Spain,Female,37,3,0.0,2,1,1,139788.1206532318,0
264,15118451,Customer_263,768,France,Male,34,5,145635.27468019212,2,1,0,100497.27537640091,1
265,15447600,Customer_264,563,France,Male,70,0,63130.40279704662,3,0,0,132924.768737936,1
266,15837437,Customer_265,632,France,Male,72,3,0.0,1,1,1,139761.59258255057,0
267,15439792,Customer_266,560,France,Female,71,3,0.0,2,1,1,182455.30471915315,0
268,15039353,Customer_267,714,Germany,Female,52,1,0.0,2,1,1,166984.57240996326,0
269,15193075,Customer_268,425,Spain,Female,62,0,216164.1639690721,2,1,0,164419.00860436689,0
270,15214283,Customer_269,497,Spain,Male,56,7,185915.45968961093,1,0,0,4357.091403712552,1
271,15314877,Customer_270,670,Germany,Male,69,5,209720.08072403207,1,0,0,52570.214226930984,1
272,15065318,Customer_271,562,Spain,Female,54,3,60556.81680116508,1,1,0,38634.81468130145,0
273,15765313,Customer_272,782,Germany,Female,60,1,0.0,2,1,0,198760.82859483548,0
274,15482690,Customer_273,458,France,Female,40,4,0.0,1,1,0,112785.04745103637,0
275,15416880,Customer_274,478,Germany,Female,35,8,142628.17585074878,1,1,0,34828.66841959288,0
276,15591460,Customer_275,359,Germany,Female,53,6,210455.2328013468,4,0,0,114090.96168282987,1
277,15740976,Customer_276,396,Germany,Female,37,3,247169.68158386304,2,1,0,138838.80824632823,0
278,15781239,Customer_277,728,France,Female,71,4,0.0,4,0,1,164657.02345183777,0
279,15093264,Customer_278,664,France,Female,24,7,119198.84450305765,1,0,0,55793.191419093084,0
280,15770746,Customer_279,445,France,Male,53,4,190935.52640293684,2,1,1,111555.68726143081,0
281,15813168,Customer_280,795,Spain,Male,59,5,184157.31417432867,2,1,0,60369.185930651576,1
282,15225281,Customer_281,452,France,Female,18,9,0.0,2,0,0,90034.82649928349,0
283,15637147,Customer_282,729,Spain,Male,66,5,0.0,1,1,1,81418.1557851716,0
284,15898613,Customer_283,691,Spain,Female,54,7,0.0,1,1,1,42801.533282682365,0
285,15394070,Customer_284,495,France,Male,66,4,141606.04154612753,2,1,1,58660.05558653616,0
286,15352228,Customer_285,717,Germany,Male,52,0,0.0,2,0,0,51413.520389877194,0
287,15431839,Customer_286,779,Spain,Male,58,3,98162.47304457711,2,1,1,162290.72427904294,1
288,15269536,Customer_287,765,France,Male,20,2,0.0,2,1,0,29105.94102274826,0
289,15317824,Customer_288,376,Spain,Male,52,1,227469.15545162413,1,1,0,194398.06060208083,0
290,15257426,Customer_289,569,France,Male,46,6,176955.35679900707,2,1,1,80362.58677037903,1
291,15177789,Customer_290,367,France,Female,26,6,0.0,2,0,0,45142.67533371529,0
292,15513153,Customer_291,516,Spain,Male,54,7,42635.00068573594,1,1,1,152536.20833842465,0
293,15742452,Customer_292,782,Spain,Male,73,9,74218.31211502291,1,0,0,18421.67387146434,0
294,15837291,Customer_293,826,Spain,Male,59,4,222437.45371986285,2,1,0,163053.5268366426,0
